input,output
An oversized hole in an aircraft fuselage,"1. Measure the size of the hole.
2. Cut an aluminum patch 1 to 2 inches larger than the hole on all sides.
3. Round the corners of the patch.
4. Drill matching holes in the patch and the aircraft skin where rivets will go.
5. Apply a corrosion inhibitor to the patch and the area around the hole.
6. Secure the patch with clecos temporary fasteners.
7. Replace the clecos with rivets, working from the center of the patch outward.
8. Inspect the repair for quality and adherence to aircraft standards."
An oversized hole in aircraft wing skin,"1. Identify and measure the oversized hole.
2. Cut a new patch from a sheet of aircraft-grade aluminum, making it larger than the hole.
3. Create a bevel on the edge of the hole and the patch.
4. Drill holes for rivets in the patch and the wing skin.
5. Apply corrosion inhibitor to the patch and the area around the hole.
6. Position the patch over the hole and temporarily secure it with clecos.
7. Replace the clecos with rivets, always working from the center of the patch outward.
8. Inspect the repair to ensure it meets aircraft standards."
Oversized hole in the empennage,"1. Measure the size of the hole.
2. Cut an appropriately sized patch from aircraft-grade aluminum, rounding the corners.
3. Drill matching holes in the patch and the structure for the rivets.
4. Apply a corrosion inhibitor to the patch and the empennage.
5. Secure the patch with clecos temporary fasteners.
6. Replace the clecos with rivets, working from the center of the patch outward.
7. Inspect the repair to ensure it meets aircraft standards."
Oversized hole in an aircraft engine cowling,"1. Determine the size of the hole.
2. Cut a patch from aircraft-grade aluminum, making it larger than the hole.
3. Drill matching holes in the patch and the cowling for rivets.
4. Apply a corrosion inhibitor to the patch and the cowling.
5. Temporarily secure the patch with clecos.
6. Replace the clecos with rivets, working from the center of the patch outward.
7. Inspect the repair for quality and adherence to aircraft standards."
Oversized hole in an aircraft landing gear door,"1. Measure the size of the hole.
2. Cut a patch from a sheet of aircraft-grade aluminum, rounding the corners and making it larger than the hole.
3. Drill holes for rivets in the patch and the door.
4. Apply a corrosion inhibitor to the patch and the area around the hole.
5. Temporarily secure the patch with clecos.
6. Replace the clecos with rivets, working from the center of the patch outward.
7. Inspect the repair to ensure it meets aircraft standards."
Oversized hole in the vertical stabilizer,"1. Measure the size of the hole.
2. Cut a patch from aircraft-grade aluminum, rounding the corners.
3. Drill matching holes in the patch and the vertical stabilizer for rivets.
4. Apply a corrosion"
Nick on aircraft wing composite panel,"1. Clean the area around the nick.
2. Sand the nicked area with coarse sandpaper.
3. Fill the nick with a two-part epoxy filler.
4. Sand the area again once the filler has cured.
5. Apply a paint that matches the aircraft livery."
Gouge on aircraft fuselage composite panel,"1. Clean the area around the gouge.
2. Sand the gouged area to create a gradual depression.
3. Fill the gouge with a two-part epoxy filler.
4. Allow the epoxy to cure.
5. Sand the area to make it smooth.
6. Paint the repaired area to match the aircraft livery."
Nick on aircraft tail composite panel,"1. Clean the area around the nick.
2. Sand the nicked area with coarse sandpaper.
3. Fill the nick with a suitable epoxy filler.
4. Once the filler has cured, sand the area again.
5. Apply paint that matches the aircraft livery."
Gouge on aircraft wingtip composite panel,"1. Clean the area around the gouge.
2. Sand the gouged area to create a smooth, gradual depression.
3. Fill the gouge with a two-part epoxy filler.
4. Let the epoxy cure.
5. Sand the area to make it smooth.
6. Paint the repaired area to match the aircraft livery."
